92	0.723
92.25	0.772
92.5	0.772
92.75	0.713
93	0.607
93.25	0.486
93.5	0.363
93.75	0.254
94	0.171
94.25	0.12
94.5	0.104
94.75	0.114
95	0.141
95.25	0.167
95.5	0.186
95.75	0.18
96	0.165
96.25	0.127
96.5	0.091
96.75	0.057
97	0.027
97.25	0.004
97.5	-0.009
97.75	-0.022
98	-0.028
98.25	-0.031
98.5	-0.035
98.75	-0.035
99	-0.039
99.25	-0.03
99.5	-0.022
99.75	-0.01
100	0
100.25	0.006
100.5	0.016
100.75	0.025
101	0.043
101.25	0.046
101.5	0.042
101.75	0.041
102	0.038
102.25	0.024
102.5	0.017
102.75	0.018
103	0.017
103.25	0.021
103.5	0.027
103.75	0.033
104	0.027
104.25	0.035
104.5	0.044
104.75	0.028
105	0.035
105.25	0.024
105.5	0.028
105.75	0.037
106	0.049
106.25	0.044
106.5	0.039
106.75	0.04
107	0.04
107.25	0.031
107.5	0.032
107.75	0.03
108	0.038
108.25	0.051
108.5	0.074
108.75	0.087
109	0.099
109.25	0.099
109.5	0.084
109.75	0.075
110	0.054
110.25	0.036
110.5	0.024
110.75	0.024
111	0.02
111.25	0.014
111.5	0.008
111.75	0.016
112	0.022
112.25	0.019
112.5	0.014
112.75	0.011
113	0.007
113.25	0.004
113.5	0.004
113.75	0.002
114	0
114.25	-0.003
114.5	-0.002
114.75	0.002
115	0.007
115.25	0.012
115.5	0.019
115.75	0.024
116	0.024
116.25	0.029
116.5	0.022
116.75	0.017
117	0.014
117.25	0.01
117.5	0.009
117.75	0.006
118	0.005
118.25	0.003
118.5	0.006
118.75	0.01
119	0.017
119.25	0.014
119.5	0.021
119.75	0.03
120	0.031
120.25	0.032
120.5	0.041
120.75	0.046
121	0.054
121.25	0.067
121.5	0.084
121.75	0.101
122	0.123
122.25	0.147
122.5	0.169
122.75	0.192
123	0.211
123.25	0.237
123.5	0.26
123.75	0.288
124	0.317
124.25	0.336
124.5	0.346
124.75	0.348
125	0.331
125.25	0.305
125.5	0.267
125.75	0.224
126	0.183
126.25	0.138
126.5	0.105
126.75	0.087
127	0.074
127.25	0.079
127.5	0.093
127.75	0.123
128	0.164
128.25	0.211
128.5	0.256
128.75	0.303
129	0.325
129.25	0.334
129.5	0.324
129.75	0.3
130	0.265
130.25	0.216
130.5	0.173
130.75	0.134
131	0.103
131.25	0.075
131.5	0.058
131.75	0.042
132	0.036
132.25	0.033
132.5	0.034
132.75	0.034
133	0.031
133.25	0.032
133.5	0.028
133.75	0.032
134	0.015
134.25	0.009
134.5	0.006
134.75	0.003
135	0
135.25	-0.005
135.5	-0.007
135.75	-0.008
136	-0.007
136.25	-0.007
136.5	-0.006
136.75	-0.012
137	-0.016
137.25	-0.014
137.5	-0.015
137.75	-0.016
138	-0.01
138.25	-0.017
138.5	-0.017
138.75	-0.017
139	-0.014
139.25	-0.015
139.5	-0.015
139.75	-0.015
140	-0.015
140.25	-0.015
140.5	-0.015
140.75	-0.019
141	-0.021
141.25	-0.021
141.5	-0.019
141.75	-0.019
142	-0.018
142.25	-0.018
142.5	-0.019
142.75	-0.019
143	-0.013
143.25	-0.013
143.5	-0.012
143.75	-0.011
144	-0.007
144.25	-0.006
144.5	-0.007
144.75	-0.01
145	-0.008
145.25	-0.005
145.5	-0.002
145.75	-0.003
146	0.001
146.25	0.003
146.5	0.004
146.75	0.009
147	0.018
147.25	0.027
147.5	0.04
147.75	0.052
148	0.064
148.25	0.079
148.5	0.094
148.75	0.107
149	0.114
149.25	0.119
149.5	0.12
149.75	0.116
150	0.106
150.25	0.096
150.5	0.084
150.75	0.071
151	0.06
151.25	0.047
151.5	0.038
151.75	0.028
152	0.019
152.25	0.012
152.5	0.008
152.75	0.002
153	-0.001
153.25	-0.005
153.5	-0.006
153.75	-0.005
154	-0.008
154.25	-0.008
154.5	-0.008
154.75	-0.007
155	-0.008
155.25	-0.007
155.5	-0.008
155.75	-0.006
156	-0.005
156.25	-0.003
156.5	-0.004
156.75	-0.006
157	-0.008
157.25	-0.009
157.5	-0.009
157.75	-0.004
158	0
158.25	-0.001
158.5	0.004
158.75	0.005
159	0.001
159.25	-0.003
159.5	-0.003
159.75	0
160	0.005
160.25	0.007
160.5	0.004
160.75	0.007
161	0.007
161.25	0.006
161.5	0
161.75	-0.002
162	-0.004
162.25	-0.007
162.5	-0.003
162.75	-0.004
163	-0.004
163.25	-0.009
163.5	-0.011
163.75	-0.01
164	-0.015
164.25	-0.007
164.5	-0.011
164.75	-0.016
165	-0.021
165.25	-0.016
165.5	-0.014
165.75	-0.016
166	-0.018
166.25	-0.017
166.5	-0.013
166.75	-0.012
167	-0.008
167.25	-0.003
167.5	0.006
167.75	0.019
168	0.033
168.25	0.052
168.5	0.072
168.75	0.096
169	0.121
169.25	0.147
169.5	0.173
169.75	0.192
170	0.198
170.25	0.201
170.5	0.193
170.75	0.18
171	0.164
